Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
216351856,"The Maid's Secret (Molly the Maid, #3)",Nita Prose,"Prose, Nita",,"=""0593875419""","=""9780593875414""",0,3.87,Ballantine Books,Hardcover,336,2025,2025,2025/12/01,2025/12/01,,,read,,,,1,0
157062582,"The Mystery Guest (Molly the Maid, #2)",Nita Prose,"Prose, Nita",,"=""0593356187""","=""9780593356180""",0,3.79,Ballantine Books,Hardcover,293,2023,2023,2025/11/28,2025/11/14,,,read,,,,1,0
223889699,"The Secret of Secrets (Robert Langdon, #6)",Dan    Brown,"Brown, Dan",,"=""0385546890""","=""9780385546898""",0,3.94,Doubleday,Hardcover,677,2025,2025,2025/11/21,2025/04/07,,,read,,,,1,0
213890792,Presumed Guilty (Kindle County #13; Presumed Innocent #3),Scott Turow,"Turow, Scott",,"=""1538706369""","=""9781538706367""",0,4.34,Grand Central Publishing,Hardcover,544,2025,2025,2025/11/17,2025/11/18,,,read,,,,1,0
55196813,"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,"=""0593356152""","=""9780593356159""",0,3.75,Ballantine Books,Hardcover,289,2022,2022,2025/11/14,2025/11/14,,,read,,,,1,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",0,3.61,Celadon Books,Hardcover,337,2021,2021,,2025/11/14,to-read,to-read (#19),to-read,,,,0,0
40389527,The Woman in the Window,A.J. Finn,"Finn, A.J.",,"=""""","=""""",0,3.94,William Morrow,Kindle Edition,455,2018,2018,,2025/07/07,to-read,to-read (#18),to-read,,,,1,0
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",0,3.94,Shaye Areheart Books,Hardcover,424,2009,2009,2025/11/02,2025/10/31,,,read,,,,1,0
57003725,Don't Believe Her,Jane Heafield,"Heafield, Jane",,"=""""","=""""",0,3.88,,Kindle Edition,,2021,2021,,2025/10/25,,,read,,,,2,0
217232622,Don't Believe Her,Nicola Sanders,"Sanders, Nicola",,"=""1763659917""","=""9781763659919""",0,3.99,,Kindle Edition,302,2024,2024,,2025/07/07,,,read,,,,2,0
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0297851535""","=""9780297851530""",0,4.01,Broadway Paperbacks,Paperback,254,2007,2006,,2025/10/31,,,read,,,,2,0
216247500,Lethal Prey (Lucas Davenport #35; Virgil Flowers #16),John Sandford,"Sandford, John",,"=""0593718402""","=""9780593718407""",0,4.21,G.P. Putnam's Sons,Hardcover,400,2025,2025,,2025/10/29,to-read,to-read (#17),to-read,,,,0,0
33151805,Into the Water,Paula Hawkins,"Hawkins, Paula",,"=""0735211205""","=""9780735211209""",0,3.59,Riverhead Books,Hardcover,386,2017,2017,,2025/10/28,to-read,to-read (#16),to-read,,,,0,0
59350074,The Surrogate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",0,3.91,Hollywood Upstairs Press,Kindle Edition,342,2018,2018,2025/10/12,2025/10/11,,,read,,,,1,0
56213354,A Slow Fire Burning,Paula Hawkins,"Hawkins, Paula",,"=""073521123X""","=""9780735211230""",0,3.50,Riverhead Books,Hardcover,307,2021,2021,,2025/10/11,to-read,to-read (#15),to-read,,,,0,0
220195620,The Break-In,Katherine Faulkner,"Faulkner, Katherine",,"=""1668024837""","=""9781668024836""",0,3.78,Gallery/Scout Press,Kindle Edition,400,2025,2025,,2025/10/11,to-read,to-read (#14),to-read,,,,0,0
